pl_name,ra,dec,sy_dist
GJ 433 d,173.8619194,-32.5436302,9.06456
GJ 436 b,175.5505363,26.7030669,9.75321
GJ 463 b,185.7440496,64.0324311,18.3554
GJ 480 b,189.7134226,11.6950708,14.2358
GJ 486 b,191.981531,9.7494181,8.07426
GJ 504 b,199.192348,9.4249781,17.5299
GJ 514 b,202.5040424,10.3725387,7.61778
GJ 536 b,210.2597264,-2.6522901,10.4092
GJ 581 b,229.8564725,-7.7226935,6.2981
GJ 581 c,229.8564725,-7.7226935,6.2981
GJ 581 e,229.8564725,-7.7226935,6.2981
GJ 625 b,246.3557854,54.3033625,6.47249
GJ 649 b,254.5363221,25.7419719,10.3796
GJ 667 C b,259.7510609,-34.9977651,7.24396
GJ 667 C c,259.7510609,-34.9977651,7.24396
GJ 667 C e,259.7510609,-34.9977651,7.24396
GJ 667 C f,259.7510609,-34.9977651,7.24396
GJ 667 C g,259.7510609,-34.9977651,7.24396
GJ 674 b,262.1700476,-46.8989826,4.54896
GJ 676 A b,262.5448903,-51.6377777,16.0272
GJ 676 A c,262.5448903,-51.6377777,16.0272
GJ 676 A d,262.5448903,-51.6377777,16.0272
GJ 676 A e,262.5448903,-51.6377777,16.0272
GJ 680 b,263.8072214,-48.6788427,9.67315
GJ 682 b,264.2610245,-44.3232519,5.00671
GJ 682 c,264.2610245,-44.3232519,5.00671
GJ 685 b,263.8960378,61.6793482,14.3155
GJ 687 b,264.1041731,68.3336741,4.54939
GJ 687 c,264.1041731,68.3336741,4.54939
GJ 720 A b,278.8294172,45.7456038,15.5575
GJ 724 b,280.238365,-13.3824997,16.9658
GJ 740 b,284.4997178,5.902867,11.1017
GJ 806 b,311.2697002,44.5002351,12.0445
GJ 806 c,311.2697002,44.5002351,12.0445
GJ 832 b,323.3912616,-49.0125169,4.96435
GJ 849 b,332.4229938,-4.6408317,8.80058
GJ 849 c,332.4229938,-4.6408317,8.80058
GJ 86 b,32.6224785,-50.8209945,10.7836
GJ 876 b,343.3239737,-14.2665958,4.67517
GJ 876 c,343.3239737,-14.2665958,4.67517
GJ 876 d,343.3239737,-14.2665958,4.67517
GJ 876 e,343.3239737,-14.2665958,4.67517
GJ 887 b,346.4668274,-35.8530693,3.29
GJ 887 c,346.4668274,-35.8530693,3.29
GJ 896 A b,352.9700384,19.9370011,6.26022
GJ 900 b,353.7526177,1.6055211,20.8065
GJ 9066 c,30.0588307,13.0443172,4.471
GJ 9404 b,184.8472095,28.3827126,23.8839
GJ 96 b,35.5624031,47.8802075,11.9315
GJ 9689 b,303.467731,13.3888921,30.6203
GJ 9714 b,315.4141767,-32.5250028,20.5121
GJ 9827 b,351.7717763,-1.2853435,29.661
GJ 9827 c,351.7717763,-1.2853435,29.661
GJ 9827 d,351.7717763,-1.2853435,29.661
GPX-1 b,38.3691648,56.025708,655.013
GQ Lup b,237.3003643,-35.6515055,151.169
GSC 06214-00210 b,245.4776921,-20.7193398,108.5
GU Psc b,18.146485,17.0650029,47.5501
Gaia-1 b,90.6436658,-0.5771099,363.66
Gaia-2 b,110.7353308,67.2526565,209.229
Gaia22dkvL b,151.769,-66.1808889,1270
Gl 378 b,150.5865513,48.0824515,14.9545
Gl 49 b,15.6687321,62.3454386,9.8528
Gl 686 b,264.4764878,18.5959509,8.15728
Gliese 12 b,3.9579137,13.5576175,12.21
HAT-P-1 b,344.4453632,38.674919,158.979
HAT-P-11 b,297.7101763,48.0818635,37.7647
HAT-P-11 c,297.7101763,48.0818635,37.7647
HAT-P-12 b,209.3886452,43.49331,142.751
HAT-P-13 b,129.8823772,47.3519076,246.81
HAT-P-13 c,129.8823772,47.3519076,246.81
HAT-P-14 b,260.1161719,38.2421682,222.663
HAT-P-15 b,66.248142,39.460602,192.516
HAT-P-16 b,9.5730343,42.4630961,226.637
HAT-P-17 b,324.5359781,30.4881882,92.3831
HAT-P-17 c,324.5359781,30.4881882,92.3831
HAT-P-18 b,256.346376,33.0123251,161.4
HAT-P-19 b,9.5165832,34.7114025,202.078
HAT-P-2 b,245.1514324,41.0479601,127.774
HAT-P-2 c,245.1514324,41.0479601,127.774
HAT-P-20 b,111.9164295,24.3361185,71.0374
HAT-P-21 b,171.2749348,41.0280207,277.278
HAT-P-22 b,155.6814593,50.1287115,81.7647
HAT-P-23 b,306.1239076,16.7621462,364.813
HAT-P-24 b,108.8251171,14.2626064,415.344
HAT-P-25 b,48.4354731,25.1973548,300.384
HAT-P-26 b,213.1565508,4.0594175,141.837
HAT-P-27 b,222.7673221,5.9473626,199.173
HAT-P-28 b,13.0009159,34.728402,401.319
HAT-P-29 b,33.1310921,51.7787754,313.576
HAT-P-3 b,206.0940142,48.028565,134.554
HAT-P-30 b,123.9498431,5.8368669,213.985
HAT-P-31 b,271.5376722,26.4266061,344.05
HAT-P-32 b,31.0427614,46.6878512,289.205
HAT-P-33 b,113.1842383,33.8350214,396.11
HAT-P-34 b,303.1954355,18.1047776,249.325
HAT-P-35 b,123.250703,4.7870288,506.965
HAT-P-36 b,188.2662048,44.9153672,294.419
HAT-P-37 b,284.2960393,51.2691212,390.594
HAT-P-38 b,35.3834942,32.2460441,255.206
HAT-P-39 b,113.7582526,17.8300283,697.004
HAT-P-4 b,229.99122,36.229545,320.451
HAT-P-40 b,335.5129199,45.4573423,464.469
HAT-P-41 b,297.3226523,4.6724124,348.185
HAT-P-42 b,135.3443583,6.0970828,405.238
HAT-P-43 b,128.9256885,10.2065866,528.825
HAT-P-44 b,213.1438604,47.0147826,347.85
HAT-P-44 c,213.1438604,47.0147826,347.85
HAT-P-45 b,274.3732697,-3.3810594,298.64
HAT-P-46 b,270.4441831,-2.97098,290.736
HAT-P-49 b,305.4413294,26.6926759,350.351
HAT-P-5 b,274.4055335,36.6214617,303.336
HAT-P-50 b,118.0634379,12.1393474,515.458
HAT-P-51 b,21.0651251,32.8107,440.089
HAT-P-52 b,42.7217412,29.0222492,361.155
HAT-P-53 b,21.8711012,38.9681137,666.802
HAT-P-54 b,99.8979924,25.4824005,143.651
HAT-P-55 b,264.2735096,25.7311468,511.388
HAT-P-56 b,100.8480137,27.2521823,320.639
HAT-P-57 b,274.743418,10.5971968,279.86
HAT-P-58 b,68.8465093,56.8682691,515.59
HAT-P-59 b,292.4588212,62.5291892,265.471
HAT-P-6 b,354.7740917,42.4659866,275.358
HAT-P-60 b,28.2825719,52.0539209,233.22
HAT-P-61 b,75.4801665,50.1311784,338.84
HAT-P-62 b,74.5043816,48.3008551,348.815
HAT-P-63 b,269.5720695,5.7613709,403.458
HAT-P-64 b,68.9743955,2.4312732,651.897
HAT-P-65 b,315.9054895,11.9893675,738.519
HAT-P-66 b,150.5726262,53.9508237,935.456
HAT-P-67 b,256.6107279,44.7768849,371.686
HAT-P-68 b,118.4831501,23.9382192,202.152
HAT-P-69 b,130.5056385,3.7105662,341.263
HAT-P-7 b,292.24719,47.9695429,341.079
HAT-P-70 b,74.5523332,9.9979794,330.739
HAT-P-8 b,343.0414932,35.4471778,211.553
HAT-P-9 b,110.1685157,37.1405946,455.203
HATS-1 b,175.5252399,-23.3548451,283.971
HATS-10 b,294.3068385,-22.2044872,534.889
HATS-11 b,289.4007603,-22.3900092,944.603
HATS-12 b,289.202402,-19.3559227,746.138
HATS-13 b,316.9614798,-26.0967205,421.855
HATS-14 b,313.2154754,-25.6873756,513.011
HATS-15 b,311.0920041,-19.4375266,1139.55
HATS-16 b,358.5588439,-30.0130385,757.044
HATS-17 b,192.1895676,-47.6136789,400.331
HATS-18 b,173.9574203,-29.1560639,624.368
HATS-2 b,176.7388264,-22.5630097,341.925
HATS-22 b,174.0098693,-29.5433642,229.518
HATS-23 b,286.36675,-50.0673496,639.004
HATS-24 b,268.8907069,-61.7474,494.182
HATS-25 b,207.9076746,-23.7812403,471.158
HATS-26 b,144.9268593,-28.5856004,861.843
HATS-27 b,193.5524603,-46.5877159,816.988
HATS-28 b,284.3997616,-49.1385126,535.383
HATS-29 b,285.0965172,-54.8933408,353.891
HATS-3 b,312.4574879,-24.4286938,411.211
HATS-30 b,5.618525,-59.9425892,342.14
HATS-31 b,191.7028214,-24.4273897,773.974
HATS-32 b,346.0750861,-21.2720168,745.116
HATS-33 b,294.6336944,-55.3302692,248.46
HATS-34 b,0.7744866,-62.4693167,508.842
HATS-35 b,296.688442,-63.5656488,514.555
HATS-36 b,291.4787013,-23.2028183,856.436
HATS-37 A b,199.80183,-22.9868431,211.896
HATS-38 b,154.2710615,-25.2762982,343.525
HATS-39 b,112.4192251,-29.9379163,878.521
HATS-4 b,94.1120914,-22.5468824,416.459
HATS-40 b,100.5712467,-29.77678,1342.29
HATS-41 b,103.5173558,-27.0504156,737.668
HATS-42 b,108.4523991,-33.4373462,800.377
HATS-43 b,80.5382418,-30.9708179,362.273
HATS-44 b,84.3267559,-27.9725758,446.035
HATS-45 b,101.9942455,-21.9107112,772.11
HATS-46 b,6.7026401,-56.3161021,453.808
HATS-47 b,287.4844021,-49.6649424,300.67
HATS-48 A b,288.6720048,-59.5793505,263.609
HATS-49 b,6.6135927,-56.3442798,324.413
HATS-5 b,67.2228465,-21.4820568,246.384
HATS-50 b,300.4280761,-26.077564,756.742
HATS-51 b,102.8474248,-29.0586551,389.57
HATS-52 b,140.0875894,-31.2692116,555.134
HATS-53 b,176.628323,-33.8600764,585.77
HATS-54 b,200.6348641,-44.6888393,748.585
HATS-55 b,114.2833819,-32.7554188,609.838
HATS-56 b,180.165072,-45.7994559,564.409
HATS-57 b,60.9482779,-19.0568182,279.485
HATS-58 A b,186.7873036,-48.9784105,403.591
HATS-59 b,170.324325,-22.388177,642.884
HATS-59 c,170.324325,-22.388177,642.884
HATS-6 b,88.1468079,-19.0316268,169.318
HATS-60 b,341.3640336,-14.9917747,486.474
HATS-61 b,61.6578005,-25.3496674,679.761
HATS-62 b,312.4493079,-24.303506,523.067
HATS-63 b,67.418582,-28.1972149,623.232
HATS-64 b,144.2876092,-29.800444,1080.15
HATS-65 b,292.9397825,-26.7402021,493.32
HATS-66 b,101.3948048,-33.8816918,1477.98
HATS-67 b,180.2087883,-46.1364201,960.109
HATS-68 b,15.006077,-58.9047242,603.955
HATS-69 b,289.2974275,-60.8917599,414.537
HATS-7 b,208.8567465,-21.2078587,240.707
HATS-70 b,109.1045212,-31.2443947,1458.83
HATS-71 b,15.5518893,-61.7561333,140.225
HATS-72 b,339.0258401,-17.0003046,127.589
HATS-74 A b,171.0147921,-19.5569588,299.389
HATS-75 b,60.9493919,-25.4089214,194.964
HATS-76 b,70.3397665,-32.3204175,385.689
HATS-77 b,149.8236672,-27.3928174,436.176
HATS-8 b,294.9416887,-25.7483655,794.637
HATS-9 b,290.8101704,-20.1663771,638.7
HD 100546 b,173.3555116,-70.1947897,109.677
HD 100655 b,173.7653631,20.441541,137.178
HD 100777 b,173.9646303,-4.7555425,49.5336
HD 10180 c,24.4731133,-60.5114881,38.9607
HD 10180 d,24.4731133,-60.5114881,38.9607
HD 10180 e,24.4731133,-60.5114881,38.9607
HD 10180 f,24.4731133,-60.5114881,38.9607
HD 10180 g,24.4731133,-60.5114881,38.9607
HD 10180 h,24.4731133,-60.5114881,38.9607
HD 101930 b,175.875608,-58.0053798,30.0274
HD 102117 b,176.2097267,-58.7040134,39.5792
HD 102195 b,176.4254063,2.8209912,29.3386
HD 102272 b,176.5980316,14.1240201,347.097
HD 102329 b,176.6941567,3.4742143,217.107
HD 102329 c,176.6941567,3.4742143,217.107
HD 102365 b,176.6208003,-40.4986211,9.2894
HD 102843 b,177.5854673,-1.2522989,62.758
HD 102956 b,177.8436988,57.6406584,121.89
HD 103197 b,178.2201971,-50.2927911,57.1463
HD 103720 b,179.1713308,-2.7791393,45.5352
HD 103774 b,179.2310729,-12.1079951,56.4089
HD 103891 b,179.4382907,-8.5486195,55.5213
HD 103949 b,179.5479558,-23.9241221,26.4997
HD 104067 b,179.7923543,-20.3556058,20.3632
HD 104067 c,179.7923543,-20.3556058,20.3632
HD 10442 b,25.471524,2.7044193,135.374
HD 104985 b,181.3157854,76.9053359,100.576
HD 105618 b,182.4021288,11.2115695,70.0837
HD 105618 c,182.4021288,11.2115695,70.0837
HD 105779 b,182.6612053,-16.9564908,55.2411
HD 106252 b,183.3730583,10.0404302,38.185
HD 106270 b,183.4049258,-9.5135645,93.808
HD 106315 b,183.4724742,-0.3934357,109.353
HD 106315 c,183.4724742,-0.3934357,109.353
HD 10647 b,25.6233526,-53.7412852,17.3357
HD 106515 A b,183.7762699,-7.2575413,34.0915
HD 106906 b,184.4713308,-55.9755805,103.029
HD 10697 b,26.2324076,20.0826974,33.1205
HD 107148 b,184.8059773,-3.3199927,49.4156
HD 107148 c,184.8059773,-3.3199927,49.4156
HD 108147 b,186.4409852,-64.0223492,38.92
HD 108202 b,186.4613189,-1.1109233,38.6846
HD 108236 b,186.5740627,-51.3630519,64.5978
HD 108236 c,186.5740627,-51.3630519,64.5978
HD 108236 d,186.5740627,-51.3630519,64.5978
HD 108236 e,186.5740627,-51.3630519,64.5978
HD 108236 f,186.5740627,-51.3630519,64.5978
HD 108341 b,186.8791724,-71.4224896,48.9102
HD 108863 b,187.5826081,21.9480993,164.742
HD 108874 b,187.6126029,22.8794399,59.5175
HD 108874 c,187.6126029,22.8794399,59.5175
HD 109246 b,188.027184,74.4893379,67.8349
HD 109271 b,188.397397,-11.6215204,55.8716
HD 109271 c,188.397397,-11.6215204,55.8716
HD 109286 b,188.3958418,7.2809064,55.4156
HD 109749 b,189.3173489,-40.8121458,63.0821
HD 10975 b,27.1628025,37.9527542,116.506
HD 109833 b,189.7758591,-74.5740205,79.5561
HD 109833 c,189.7758591,-74.5740205,79.5561
HD 109988 b,189.8154662,-32.7263607,42.5279
HD 110014 b,189.8111935,-7.9956702,100.758
